"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
50,"MOTS",-14.37%,24.68%,-7.69%,-24.41%,-55.35%,-58.08%,11.01%,8.86%,1.50,205.75,2.39,0.97,1.05%,491337
51,"VBLT",23.23%,56.56%,45.80%,51.59%,63.15%,59.17%,14.35%,8.62%,1.80,214.06,3.70,1.93,1.05%,791106
52,"SONM",-4.01%,12.57%,-24.60%,-31.51%,-78.36%,-83.07%,3.75%,7.32%,2.30,909.56,0.75,0.62,1.04%,684742
53,"ENTX",-11.76%,-6.25%,-16.00%,-43.55%,-53.33%,-50.93%,6.23%,9.46%,2.00,349.26,1.54,1.06,0.95%,538694
54,"CHEK",-11.98%,11.86%,-14.32%,-40.91%,-79.74%,-81.63%,7.02%,10.19%,2.00,1475.05,0.98,0.32,0.95%,1440166
55,"HNRG",0.93%,34.60%,49.94%,36.19%,-60.58%,-63.64%,4.80%,9.15%,,242.51,1.24,1.09,0.93%,299715
56,"CXDC",-4.42%,-9.62%,-6.90%,-6.09%,-36.84%,-39.66%,4.84%,2.48%,,88.29,0.63,1.09,0.93%,55533
57,"ZSAN",-10.34%,17.88%,-67.56%,-31.43%,-59.05%,-62.01%,7.79%,9.34%,1.70,5343.75,0.37,0.58,0.88%,1986018
58,"SONN",-14.60%,-4.10%,-14.91%,-38.42%,-83.73%,-84.75%,7.23%,7.67%,2.00,739.05,0.49,2.36,0.85%,362251
59,"CTHR",-0.77%,12.17%,46.23%,83.03%,-7.86%,-9.15%,3.87%,5.27%,2.00,229.60,0.34,1.30,0.78%,78487
60,"TGC",-7.86%,27.13%,63.29%,107.03%,158.00%,163.21%,13.41%,13.33%,,1399.01,0.07,1.30,0.78%,99156
61,"KIQ",-5.19%,-3.04%,0.59%,-19.19%,-35.46%,-29.48%,4.76%,7.13%,,74.43,1.01,0.51,0.76%,74868
62,"LMFA",-1.94%,5.20%,7.53%,-64.97%,-20.97%,-19.11%,8.99%,10.22%,,2725.22,0.24,0.63,0.70%,648289
63,"KTOV",-3.10%,-2.17%,-5.36%,-28.65%,-43.61%,-47.92%,2.65%,3.50%,,354.07,0.49,4.08,0.49%,173666
64,"ITP",6.68%,17.11%,40.31%,24.91%,-25.28%,-28.35%,6.07%,9.01%,,2220.31,0.42,0.68,0.48%,941239
65,"CPSS",5.60%,8.85%,14.11%,47.91%,24.85%,25.96%,4.86%,3.90%,2.00,143.86,0.94,4.25,0.12%,135659
66,"POAI",-5.81%,4.72%,-19.19%,-63.23%,-76.28%,-73.37%,5.29%,8.14%,,1131.31,0.32,0.70,0.03%,358051
67,"MBRX",-1.99%,-0.18%,-11.24%,-21.00%,-26.17%,-13.67%,5.62%,7.78%,1.70,1440.50,0.42,0.79,0.00%,609735
68,"SNSS",5.65%,49.60%,23.03%,-66.21%,-35.74%,-44.63%,4.97%,7.88%,3.00,955.96,0.51,1.87,0.00%,483967
69,"ENG",-12.37%,71.72%,98.64%,60.38%,75.26%,73.47%,7.65%,22.75%,,2388.47,0.44,1.70,0.00%,1052289
70,"TAT",-1.48%,17.25%,-0.20%,-20.65%,-44.10%,-49.62%,5.83%,9.95%,3.00,2440.75,0.41,0.25,0.00%,0
71,"LAIX",-4.05%,-6.58%,-28.28%,-46.42%,-56.71%,-70.78%,3.23%,7.65%,4.00,120.34,0.90,1.42,0.00%,108742
72,"LEE",8.65%,21.47%,29.57%,0.89%,-20.98%,-20.42%,7.64%,7.03%,,222.03,1.60,1.13,0.00%,356117
73,"FEDU",-14.53%,20.19%,15.60%,-13.04%,-45.05%,-37.50%,9.45%,7.50%,3.00,198.12,0.09,1.00,0.00%,18075
74,"BKEP",-0.55%,12.50%,19.21%,25.00%,66.65%,59.29%,4.16%,4.21%,3.00,173.52,0.52,1.80,0.00%,90271
75,"CLBS",-10.30%,-1.33%,-22.92%,-15.91%,-32.73%,-41.04%,8.67%,7.43%,2.20,193.88,0.93,1.48,0.00%,180769
76,"RNWK",-9.49%,2.88%,10.85%,0.00%,14.40%,19.17%,5.20%,6.68%,,400.13,0.20,1.43,0.00%,79070
77,"CJJD",2.91%,7.76%,10.41%,-30.26%,-35.76%,-41.76%,4.37%,5.34%,,628.58,0.34,1.06,0.00%,211027
78,"RETO",-0.97%,22.53%,19.96%,-38.60%,-26.59%,-23.07%,6.65%,10.14%,,884.82,0.30,0.68,-0.06%,264448
79,"AEZS",-4.85%,12.59%,2.85%,-58.88%,-52.71%,-58.43%,6.04%,9.91%,,1992.98,0.49,0.38,-0.16%,979948
80,"HALL",0.91%,-2.35%,14.09%,-3.77%,-81.69%,-81.10%,4.11%,5.20%,2.50,189.63,0.60,3.31,-0.30%,113782
81,"CFMS",-5.84%,-0.86%,-18.38%,-24.58%,-60.44%,-57.01%,6.54%,5.70%,2.00,448.03,3.62,0.64,-0.36%,1620150
82,"NBRV",-26.76%,-46.39%,-57.22%,-69.85%,-86.01%,-81.14%,6.35%,8.02%,2.70,351.19,1.73,2.48,-0.40%,607525
83,"NM",-5.75%,30.16%,41.38%,3.36%,-48.10%,-45.09%,7.04%,8.64%,1.00,83.39,0.85,2.45,-0.41%,70633
84,"CSCW",0.99%,8.33%,1.98%,-31.66%,-75.81%,-64.09%,6.80%,9.31%,,2802.07,0.30,0.52,-0.44%,831337
85,"AEHR",3.27%,43.51%,47.33%,11.62%,16.93%,10.50%,3.85%,8.04%,,336.86,0.31,2.20,-0.45%,104777
86,"BPT",-24.63%,77.59%,80.70%,-20.16%,-55.41%,-55.09%,13.25%,14.03%,,289.89,0.99,3.07,-0.65%,285615
87,"AMPY",0.67%,75.07%,79.08%,-5.03%,-78.49%,-77.16%,14.04%,12.80%,3.00,1037.56,1.31,1.50,-0.66%,1360969
88,"SEAC",-17.91%,-3.72%,-19.99%,-52.93%,-81.75%,-81.01%,13.20%,11.66%,2.50,314.87,1.05,0.79,-0.69%,329979
89,"SOHO",-1.03%,30.32%,49.22%,-2.70%,-55.83%,-57.52%,5.54%,8.81%,2.00,251.35,0.42,2.86,-0.69%,106425
90,"ATHE",-5.92%,-35.87%,-30.92%,146.51%,74.39%,83.33%,4.27%,6.86%,,2261.34,0.09,1.42,-0.70%,204781
91,"LUB",-1.06%,-4.11%,21.74%,86.67%,26.13%,27.27%,4.35%,5.31%,,178.98,0.19,2.78,-0.71%,33314
92,"JT",5.77%,-5.82%,-33.89%,-60.08%,-78.65%,-76.93%,6.97%,9.44%,2.00,127.46,0.85,2.73,-0.73%,107804
93,"KTRA",-13.55%,-15.19%,-10.67%,22.94%,132.32%,94.29%,7.72%,9.63%,2.00,380.52,1.28,1.33,-0.75%,485799
94,"SYN",-7.16%,0.80%,-32.08%,-28.00%,-26.61%,-30.40%,5.80%,5.80%,2.50,569.65,0.50,0.35,-0.77%,285961
95,"BHTG",-3.94%,-8.27%,-2.40%,-23.27%,-23.75%,-28.24%,7.08%,7.13%,2.00,412.05,0.47,1.21,-0.82%,194318
96,"AVCO",-2.48%,-2.48%,-9.23%,-25.79%,-37.23%,-38.86%,5.50%,5.23%,,358.79,0.97,1.17,-0.85%,349642
97,"GSUM",-2.95%,-3.24%,40.60%,95.83%,-1.50%,34.84%,2.77%,2.61%,,392.65,0.14,1.63,-0.91%,54562
98,"LODE",-6.48%,-0.98%,-18.55%,40.04%,170.70%,128.82%,6.35%,5.79%,,470.10,0.69,1.00,-0.99%,323073
99,"INUV",-2.50%,12.09%,0.56%,-33.70%,40.50%,33.28%,7.39%,6.83%,2.30,2645.77,0.43,0.39,-1.04%,1148931
100,"NINE",8.17%,71.60%,85.33%,18.30%,-60.57%,-64.45%,12.87%,15.10%,3.40,284.70,0.86,2.75,-1.08%,246171
101,"OPGN",-9.38%,-11.68%,-19.82%,-15.53%,24.29%,53.98%,4.18%,5.07%,2.00,754.44,1.37,1.72,-1.15%,1031041
102,"SINT",-8.90%,7.41%,-13.86%,125.16%,14.47%,16.78%,4.55%,8.53%,2.00,1630.22,0.36,1.72,-1.15%,581121
103,"CAPR",0.00%,-1.17%,-24.10%,-14.57%,273.45%,229.69%,3.91%,6.14%,2.00,607.21,0.43,4.17,-1.18%,261383
104,"IRIX",-13.09%,-2.35%,-14.87%,-20.95%,-29.96%,-25.56%,6.11%,5.77%,,64.01,3.46,1.64,-1.20%,221237
105,"SACH",-0.73%,0.74%,9.97%,33.33%,-7.48%,-5.99%,2.60%,2.54%,1.50,61.06,1.46,4.03,-1.23%,89034
106,"AZRX",6.58%,15.73%,-0.61%,-11.94%,-14.83%,-22.12%,6.59%,6.00%,2.00,158.33,2.14,0.80,-1.23%,338086
107,"EGY",-3.57%,58.82%,52.83%,35.00%,-19.00%,-27.03%,5.10%,9.65%,1.00,666.97,0.65,1.60,-1.23%,431233
108,"ATIF",2.12%,6.60%,-31.81%,-64.92%,-66.53%,-62.58%,6.36%,6.89%,,1046.30,0.27,0.72,-1.25%,277446
109,"JOB",-1.51%,9.84%,1.29%,122.67%,160.50%,164.92%,4.14%,5.77%,2.00,478.01,0.16,1.02,-1.28%,74940
110,"VOC",14.08%,34.41%,87.24%,14.08%,-42.60%,-41.36%,8.07%,6.24%,,249.63,0.25,2.68,-1.29%,61843
111,"BHAT",0.84%,4.65%,-15.96%,-27.97%,-62.80%,-54.85%,7.05%,8.30%,,697.68,0.48,0.90,-1.34%,336297
112,"AESE",22.31%,57.92%,-1.33%,-44.98%,-49.14%,-43.08%,16.24%,10.72%,1.50,1326.67,1.10,1.46,-1.35%,1460002
113,"TBLT",4.39%,1.63%,24.33%,-3.04%,-55.54%,-59.45%,4.60%,5.69%,2.00,2153.75,0.50,0.80,-1.36%,1087081
114,"PRPO",-7.76%,-0.47%,-1.38%,89.38%,-1.38%,4.39%,6.08%,8.49%,2.00,790.71,0.40,2.11,-1.40%,318368
115,"PFIE",-2.75%,6.68%,25.80%,0.24%,-37.76%,-38.62%,6.04%,6.21%,2.50,109.77,0.85,0.88,-1.40%,93286
116,"LPCN",3.68%,-2.08%,-12.42%,46.88%,330.67%,266.33%,6.82%,8.78%,1.50,2081.80,0.93,1.39,-1.42%,1928731
117,"CPHI",1.67%,6.87%,19.84%,-26.80%,77.60%,85.47%,7.52%,11.86%,2.00,567.36,0.46,0.43,-1.43%,259059
118,"CDTX",-3.72%,-19.46%,-33.87%,-48.25%,-15.51%,-46.09%,8.01%,7.75%,1.70,271.11,2.83,2.04,-1.45%,766213
119,"NEOS",-16.71%,19.77%,2.52%,-12.78%,-53.72%,-54.95%,8.61%,12.24%,2.30,4022.26,0.28,0.67,-1.50%,1138471
120,"REFR",-2.21%,-1.85%,-8.28%,-48.15%,-20.83%,-11.63%,13.07%,8.71%,,207.58,1.74,2.62,-1.50%,360668
121,"NNA",-6.30%,-19.85%,-25.68%,-23.95%,-54.90%,-61.53%,6.40%,5.97%,3.00,167.15,1.16,3.22,-1.53%,193699
122,"BBW",-2.62%,8.25%,28.90%,89.79%,57.60%,37.65%,6.26%,6.95%,2.00,174.59,0.34,4.39,-1.57%,59341
123,"ARTL",-4.58%,17.78%,-27.53%,-58.93%,-70.38%,-77.19%,7.83%,11.11%,3.00,2254.79,0.62,0.61,-1.70%,1406641
124,"PTI",-9.45%,2.68%,-9.45%,-23.33%,-25.32%,-49.56%,8.98%,8.07%,2.00,528.97,1.61,1.13,-1.74%,851057
125,"SYBX",-1.74%,9.71%,5.12%,4.63%,3.20%,-12.40%,11.29%,11.59%,1.60,1083.72,0.52,2.22,-1.77%,561328
126,"CVU",12.89%,39.22%,48.12%,20.86%,-40.84%,-41.46%,6.04%,5.87%,3.00,79.89,1.59,3.87,-1.78%,127398
127,"PZG",1.82%,4.67%,-8.20%,1.82%,43.59%,44.82%,6.04%,5.16%,1.50,124.17,0.89,1.10,-1.79%,110707
128,"PVL",2.53%,36.22%,12.57%,-36.57%,-54.79%,-54.05%,4.60%,6.85%,,208.74,1.07,0.83,-1.86%,222634
129,"SALM",-4.50%,11.57%,6.00%,-35.76%,-24.82%,-26.39%,4.67%,6.27%,1.50,934.06,0.15,1.04,-1.89%,135459
130,"SPRT",2.45%,5.56%,12.97%,41.22%,108.95%,91.74%,4.24%,4.22%,2.00,123.23,0.74,2.05,-1.91%,91176
131,"PDSB",-4.59%,-1.89%,-26.50%,43.45%,-1.89%,-21.51%,5.03%,7.43%,1.80,459.49,0.91,2.04,-1.92%,420205
132,"FARM",-3.76%,-9.09%,-19.13%,-52.49%,-72.03%,-72.78%,7.87%,5.25%,3.00,114.08,1.21,4.02,-1.95%,138205
133,"VCNX",-9.29%,4.59%,-63.72%,-41.43%,-64.96%,-57.73%,7.51%,6.93%,2.00,1127.80,0.19,2.01,-1.95%,213618
134,"ALRN",2.02%,-4.72%,-25.74%,-17.21%,90.57%,76.27%,7.51%,5.89%,1.40,907.57,0.37,0.99,-1.98%,337722
135,"GROW",22.28%,57.32%,78.34%,127.65%,288.98%,243.06%,6.95%,7.53%,,96.69,2.13,4.84,-2.02%,205702
136,"RWLK",9.63%,25.96%,20.33%,-8.07%,-36.21%,-31.48%,9.16%,9.87%,2.00,1211.78,0.42,1.45,-2.03%,505250
137,"RAVE",-7.37%,24.72%,91.30%,-0.98%,-50.84%,-46.67%,9.56%,12.61%,,2228.35,0.20,0.86,-2.05%,448069
138,"ARC",7.35%,7.35%,46.00%,39.05%,19.67%,5.04%,4.34%,6.71%,,264.75,0.89,1.43,-2.05%,234801
139,"DYNT",2.33%,43.27%,16.32%,-27.13%,3.47%,0.95%,4.09%,7.61%,1.70,206.72,0.86,0.82,-2.11%,177101
140,"REI",-9.89%,41.14%,-2.31%,-48.46%,-71.85%,-72.28%,10.03%,10.25%,2.80,1637.89,0.77,0.72,-2.12%,1256581
141,"OGEN",-0.74%,-8.69%,-37.75%,-13.78%,-11.80%,-14.97%,4.02%,9.73%,2.00,4866.35,0.29,0.44,-2.18%,1422886
142,"HBP",-1.10%,-2.71%,54.08%,184.92%,108.72%,133.12%,2.05%,3.69%,,443.58,0.07,3.51,-2.23%,30406
143,"GVP",19.11%,27.01%,34.03%,22.94%,6.35%,-18.79%,5.87%,9.60%,2.00,187.98,0.43,1.31,-2.24%,80428
144,"NBY",2.20%,13.44%,-13.08%,-29.46%,10.81%,2.50%,7.22%,7.66%,1.50,1371.69,0.61,0.64,-2.29%,834646
145,"MMLP",-9.63%,9.74%,31.01%,-32.40%,-59.28%,-58.06%,6.52%,8.18%,3.50,244.76,0.43,1.65,-2.37%,104499
146,"DFFN",-2.94%,11.83%,-16.70%,-30.50%,78.56%,53.87%,6.64%,8.49%,,1029.58,0.45,0.69,-2.41%,466967
147,"TOPS",-10.87%,8.85%,3.36%,-67.42%,-94.42%,-93.85%,5.90%,10.77%,3.00,3078.19,0.56,1.20,-2.44%,1711692
148,"AIRI",-4.03%,2.59%,7.21%,2.59%,-29.17%,-48.26%,4.03%,8.25%,2.00,466.73,0.29,1.16,-2.52%,137307
149,"SNGX",17.52%,32.21%,37.50%,55.37%,99.28%,89.66%,9.37%,9.41%,2.20,533.22,1.30,2.68,-2.55%,692922
150,"NVIV",5.31%,14.25%,-57.29%,-60.96%,-86.57%,-90.57%,9.19%,7.84%,,1739.06,0.73,0.62,-2.58%,1261998
151,"REPH",42.59%,61.26%,24.19%,-34.88%,-81.78%,-83.20%,27.19%,12.15%,1.00,819.40,1.05,3.00,-2.60%,861206
152,"ICON",-8.20%,45.89%,48.74%,3.70%,4.67%,-17.04%,9.05%,11.81%,2.00,1354.98,0.15,1.09,-2.68%,201917
153,"TOMZ",-2.39%,-13.56%,-33.55%,-55.65%,410.00%,352.13%,6.98%,9.47%,,176.65,2.17,3.97,-2.70%,384174
154,"RIBT",2.96%,2.96%,24.98%,-33.38%,-60.40%,-61.48%,8.13%,10.30%,2.00,578.10,1.04,0.55,-2.70%,598661
155,"HUGE",4.02%,25.69%,-34.89%,-57.11%,-69.22%,-66.66%,11.08%,11.05%,,810.71,0.51,1.76,-2.76%,416546
156,"APEN",-4.76%,48.76%,143.24%,113.02%,29.96%,26.32%,9.23%,12.06%,2.00,134.74,1.14,3.50,-2.78%,153719
157,"SXTC",-4.12%,14.70%,27.71%,-40.75%,-55.98%,-62.23%,4.77%,9.67%,,2594.07,0.54,0.30,-2.84%,1410513
158,"KERN",2.12%,35.92%,-8.53%,-57.30%,-65.41%,-54.21%,7.62%,13.87%,2.00,1634.50,1.14,3.75,-2.85%,1858739
159,"FPAY",-8.85%,49.06%,27.42%,43.64%,15.61%,-6.32%,11.54%,10.53%,2.00,207.20,0.59,2.30,-2.95%,123103
160,"CCNC",-0.61%,-5.78%,61.39%,-22.38%,60.59%,35.83%,16.64%,10.35%,,747.03,0.17,1.58,-3.07%,130198
161,"ADIL",-5.05%,9.94%,42.42%,27.89%,-17.90%,-21.99%,6.17%,7.72%,2.00,2593.38,0.12,1.82,-3.19%,302847
162,"NWHM",-0.79%,-8.26%,28.53%,49.25%,2.67%,7.30%,4.22%,4.78%,3.00,62.43,1.70,4.84,-3.20%,105914
163,"USWS",8.44%,42.60%,62.39%,-6.63%,-63.48%,-74.30%,8.39%,11.44%,3.00,1971.91,0.31,0.47,-3.23%,605940
164,"PULM",-8.33%,10.00%,-4.72%,-33.15%,45.78%,40.70%,6.23%,6.67%,,468.56,1.32,1.17,-3.31%,619941
165,"AMTX",3.95%,6.28%,-15.36%,188.25%,136.41%,185.54%,6.23%,9.95%,2.00,1526.98,0.29,2.29,-3.38%,436676
166,"RLH",0.79%,12.78%,11.79%,28.00%,-22.42%,-31.37%,8.90%,5.45%,2.00,90.30,0.81,2.47,-3.52%,73379
167,"CLSN",-18.00%,27.71%,-17.29%,-87.59%,-57.60%,-61.81%,10.14%,12.24%,2.30,1382.80,0.85,0.63,-3.52%,1169259
168,"STRM",-1.75%,7.69%,3.70%,40.00%,29.23%,20.86%,4.84%,6.27%,2.00,73.13,0.65,1.62,-3.57%,47487
169,"VOLT",1.58%,33.10%,48.46%,66.38%,-18.57%,-22.18%,6.20%,9.38%,,145.76,0.71,1.86,-3.63%,102808
170,"WTER",-0.93%,-5.31%,-21.32%,-30.97%,-5.31%,-15.75%,4.00%,6.45%,2.30,1696.62,0.66,1.03,-3.74%,1121997
171,"AAU",11.49%,-31.23%,-16.51%,68.11%,58.16%,34.26%,5.42%,9.54%,,810.97,0.79,0.76,-3.86%,642626
172,"UTSI",-17.43%,48.79%,19.27%,-20.71%,-52.38%,-52.69%,14.93%,13.06%,,794.99,0.23,1.34,-3.98%,185872
173,"UONEK",-10.22%,2.50%,36.97%,-70.36%,-35.26%,-35.26%,6.85%,7.94%,,1863.55,0.17,1.18,-4.07%,314168
174,"DWSN",5.42%,20.99%,25.86%,46.98%,-9.88%,-8.75%,5.53%,6.05%,,76.89,0.49,2.10,-4.11%,37510
175,"ASTC",0.52%,9.71%,27.15%,-27.82%,7.87%,6.67%,7.19%,6.85%,,3329.18,0.29,1.84,-4.17%,980930
176,"OSS",13.19%,36.12%,35.53%,55.28%,59.28%,52.97%,7.65%,6.03%,2.00,118.63,1.35,2.96,-4.21%,160110
177,"LPTH",18.33%,38.87%,41.81%,24.75%,461.83%,407.59%,7.91%,8.06%,2.00,292.71,1.53,3.52,-4.35%,449094
178,"ECOR",1.16%,11.46%,-1.13%,93.09%,36.19%,10.06%,6.79%,6.47%,2.00,510.46,0.78,1.67,-4.57%,399200
179,"QLGN",-14.67%,-1.69%,-26.06%,-29.64%,-13.67%,-17.35%,12.71%,8.44%,2.00,1087.93,1.61,3.33,-4.58%,1747426
180,"MCHX",-8.82%,19.89%,21.91%,35.63%,-43.78%,-42.59%,5.24%,5.38%,2.00,87.62,0.88,2.07,-4.61%,77413
181,"AREC",-8.06%,16.33%,6.21%,42.50%,185.00%,171.43%,9.17%,10.86%,2.50,3865.34,0.20,1.63,-4.68%,769096
182,"CLIR",8.73%,25.63%,23.05%,34.08%,310.60%,292.13%,11.94%,9.62%,2.00,189.20,2.57,2.85,-4.68%,485324
183,"ETTX",35.68%,41.01%,-12.24%,-15.77%,-47.71%,-49.50%,12.51%,6.54%,1.90,741.70,0.88,2.39,-4.78%,651556
