No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
39,CCLP,CSI Compressco LP,Energy,Oil & Gas Equipment & Services,USA,50.09M,-,-,-,0.13,-,3.00,-,3.48%,-,-1.10,49.80%,14.30%,-24.00%,3.70%,11.00%,-247.00%,-30.30%,47.34M,30.07M,0.60%,26.62%,38.00%,1.18%,0.42%,1.65,-6.60%,-225.20%,4.90%,1.50,1.00,-,-,36.00%,1.10%,-13.40%,1.67%,40.99%,30.56%,44.94%,-55.47%,-57.68%,2.09,0.08,6.82%,8.71%,6.07%,22.72%,37.88%,-8.73%,53.33%,-58.03%,229.99%,60.51,0.00%,0.10%,4.50,76.33K,1.37,1.15,0.10%,"103,677",Nov 02/b,-,6/15/2011,-,-
40,CCNC,Code Chain New Continent Limited,Industrials,Waste Management,China,45.80M,-,-,-,5.15,1.79,9.74,-,-,-,-0.03,-12.60%,-,-,-,-,-292.90%,-62.70%,28.79M,17.86M,13.60%,0.00%,-,123.79%,0.29%,0.07,-,-,-7.00%,2.90,2.60,0.00,0.02,-3.60%,-,-,-20.42%,-8.98%,68.87%,-22.84%,68.01%,26.67%,0.92,0.17,9.91%,9.81%,-0.55%,-0.52%,2.31%,-60.00%,118.58%,-60.00%,134.25%,49.84,3.14%,4.61%,-,739.98K,0.17,1.64,7.89%,"123,495",-,-,12/29/2015,-,-
41,CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,USA,94.57M,-,-,-,9.27,3.12,2.08,-,-,-,-1.65,48.80%,-7.10%,-9.90%,-,-,-619.50%,-87.40%,43.21M,35.34M,0.90%,33.17%,65.30%,5.77%,4.44%,5.36,-92.70%,-165.60%,-87.30%,1.80,1.80,0.00,0.27,-,-,-,2.91%,-12.40%,-27.40%,-47.00%,-16.54%,-44.79%,1.68,0.17,6.94%,7.87%,-1.99%,-13.58%,-30.51%,-35.17%,16.48%,-52.36%,63.08%,44.42,-2.75%,2.83%,1.70,292.52K,1.60,2.12,0.00%,"463,844",Nov 05/a,-,4/15/2015,-,-
42,CFMS,"Conformis, Inc.",Healthcare,Medical Devices,USA,56.99M,-,-,-,0.79,2.54,-,-,-,-,-0.34,39.70%,2.90%,17.60%,-14.58%,10.00%,35.40%,-6.90%,71.23M,63.58M,3.20%,-5.08%,30.60%,32.82%,0.79%,1.01,-32.60%,-174.00%,-70.10%,1.90,1.50,1.32,0.00,49.40%,-32.20%,-32.10%,1.93%,4.91%,-23.13%,-26.76%,-57.39%,-55.97%,1.63,0.04,6.14%,6.03%,3.70%,0.17%,-10.24%,-16.84%,13.05%,-58.02%,35.92%,54.71,2.80%,0.15%,2.00,497.09K,1.60,0.68,2.95%,"788,975",Nov 04/a,-,7/1/2015,-,-
43,CJJD,"China Jo-Jo Drugstores, Inc.",Healthcare,Pharmaceutical Retailers,China,39.44M,-,-,-,0.31,1.35,1.81,-,-,-,-0.12,-453.40%,-,-38.70%,30.00%,8.80%,-5.80%,8.50%,37.96M,28.51M,24.90%,0.00%,18.10%,6.40%,2.02%,0.90,-4.30%,-16.10%,-12.80%,1.20,0.90,0.11,1.05,22.10%,-3.60%,-3.30%,2.97%,4.00%,8.62%,-45.83%,-42.54%,-42.86%,0.55,0.06,4.64%,5.23%,-3.25%,0.95%,-29.72%,-18.38%,15.93%,-70.51%,27.52%,47.25,-5.54%,3.85%,-,635.46K,0.75,1.02,-1.90%,"471,749",-,-,5/16/2008,-,-
44,CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,28.31M,-,-,-,-,0.72,0.70,-,-,-,-0.63,-12.40%,40.80%,35.50%,-,-,39.10%,-,18.60M,17.03M,1.00%,40.13%,19.20%,16.64%,0.89%,0.80,-23.80%,-28.00%,-,9.90,9.90,0.00,0.00,-,-,-,0.00%,0.69%,-14.12%,-19.78%,-34.53%,-41.83%,1.57,0.11,5.62%,7.29%,-0.72%,-2.33%,-19.27%,-15.56%,21.60%,-58.24%,44.76%,49.32,3.40%,0.68%,2.30,190.07K,1.24,1.52,4.11%,"233,344",Nov 05/a,-,11/3/1995,-,-
45,CLIR,ClearSign Technologies Corporation,Industrials,Pollution & Treatment Controls,USA,99.89M,-,-,-,-,8.13,-,-,-,-,-0.25,23.60%,8.30%,16.20%,-,-,23.70%,-,27.84M,21.70M,0.20%,173.76%,8.20%,2.46%,3.97%,4.20,-63.90%,-77.90%,-,7.00,7.00,0.03,0.03,-,-,-,15.69%,36.64%,39.65%,67.72%,277.38%,315.74%,1.03,0.25,12.97%,9.76%,19.27%,29.50%,81.24%,-8.86%,49.55%,-19.95%,840.00%,69.53,2.49%,1.26%,2.00,205.14K,2.08,3.29,3.79%,"422,185",Nov 19/a,4.00,4/25/2012,-,-
46,CNET,ZW Data Action Technologies Inc.,Communication Services,Advertising Agencies,China,33.56M,-,-,-,0.73,3.05,67.12,111.87,-,-,-0.19,91.70%,-,44.30%,10.00%,8.90%,-161.30%,-20.60%,21.72M,20.19M,22.54%,0.00%,0.40%,-3.67%,0.63%,0.07,-22.30%,-37.00%,-14.50%,1.30,1.30,0.01,0.01,9.50%,-9.00%,-8.70%,-1.54%,-12.33%,2.40%,4.92%,8.47%,9.87%,1.79,0.19,8.14%,11.71%,-13.53%,-13.62%,9.09%,-60.06%,3.26%,-60.06%,135.16%,42.96,-0.77%,0.00%,-,1.78M,0.26,1.27,-0.77%,"465,623",-,-,10/15/2007,-,-
47,CPHI,"China Pharma Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China,18.57M,-,-,-,1.69,2.33,61.89,-,-,-,-0.47,-92.60%,-,12.10%,10.00%,-13.20%,-44.10%,0.00%,43.58M,21.94M,0.30%,0.00%,3.00%,7.80%,0.71%,0.28,-91.70%,-240.90%,-149.00%,0.40,0.10,0.11,0.62,15.30%,-,-,-4.52%,-0.02%,13.57%,-32.56%,73.63%,77.36%,0.43,0.04,6.41%,11.49%,0.26%,6.18%,-2.48%,-22.99%,24.46%,-67.11%,104.67%,54.32,9.64%,0.00%,2.00,565.87K,2.66,0.46,9.64%,"1,488,763",-,-,4/17/2002,-,-
48,CPSS,"Consumer Portfolio Services, Inc.",Financial,Credit Services,USA,94.22M,5.68,5.75,0.28,0.30,0.74,8.34,0.40,-,0.00%,0.74,-62.20%,-19.49%,-24.60%,20.00%,2.90%,106.40%,-13.70%,22.67M,14.07M,2.50%,-21.51%,49.90%,0.03%,1.78%,1.71,0.70%,12.20%,0.20%,-,-,16.59,16.59,66.60%,11.80%,5.50%,3.21%,4.50%,27.44%,52.55%,27.83%,24.04%,2.59,0.20,6.30%,4.02%,1.98%,2.60%,32.63%,-11.32%,22.42%,-18.95%,315.00%,56.69,0.16%,-0.87%,2.00,145.83K,0.23,4.15,-0.72%,"32,761",Oct 20/b,4.50,10/22/1992,-,-
49,CSCW,"Color Star Technology Co., Ltd.",Basic Materials,Building Materials,USA,27.79M,-,-,-,-,0.89,27.79,-,-,-,-0.44,61.00%,-,27.10%,20.00%,-,72.00%,-,54.86M,40.66M,23.76%,0.00%,0.60%,236.45%,2.65%,0.40,-27.30%,-393.30%,-,6.00,-,0.00,0.00,-,-,-,-1.90%,1.22%,8.58%,-40.31%,-72.99%,-65.13%,2.16,0.04,4.74%,8.57%,-4.61%,-4.93%,-26.48%,-35.19%,13.65%,-75.77%,64.47%,46.05,0.99%,0.38%,-,2.71M,0.48,0.51,1.37%,"1,275,470",-,-,6/16/2008,-,-
50,CTHR,"Charles & Colvard, Ltd.",Consumer Cyclical,Luxury Goods,USA,37.69M,-,13.10,-,1.28,0.89,2.73,94.22,-,-,-0.19,-309.00%,66.67%,2.90%,30.00%,2.60%,327.50%,3.90%,28.79M,25.65M,5.40%,58.45%,26.00%,23.72%,0.19%,0.23,-10.90%,-12.60%,-14.90%,5.10,3.30,0.01,0.02,47.10%,-19.00%,-18.60%,-2.24%,20.18%,55.21%,85.82%,-5.07%,-7.75%,0.39,0.06,3.26%,4.71%,3.26%,21.32%,59.99%,-4.41%,60.49%,-18.75%,116.67%,63.05,-0.76%,0.00%,2.00,209.81K,0.73,1.30,-0.76%,"152,445",-,1.50,11/14/1997,-,-
51,CTXR,"Citius Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,59.53M,-,0.50,-,-,1.61,7.00,-,-,-,-0.55,33.90%,353.06%,-6.20%,-,-,43.80%,-,41.60M,39.44M,22.20%,0.00%,13.40%,3.53%,2.44%,1.26,-53.90%,-69.20%,-,2.40,2.40,0.01,0.01,-,-,-,3.74%,18.27%,7.77%,27.59%,46.01%,8.82%,1.55,0.06,4.74%,6.62%,1.32%,5.57%,12.47%,-13.39%,26.02%,-44.16%,165.06%,53.55,-0.90%,0.00%,2.00,765.31K,0.54,1.10,-0.90%,"409,453",-,-,10/2/2014,-,-
52,CVU,"CPI Aerostructures, Inc.",Industrials,Aerospace & Defense,USA,48.06M,-,30.38,-,0.59,-,7.17,22.89,-,-,-0.51,52.70%,159.10%,33.90%,9.00%,17.10%,32.50%,-2.00%,11.86M,10.24M,1.70%,0.00%,38.80%,-1.93%,1.16%,1.44,-13.40%,69.10%,-10.50%,1.50,1.20,-,-,9.40%,-5.30%,-7.40%,10.62%,35.70%,56.71%,16.83%,-40.79%,-41.32%,1.75,0.20,6.41%,5.85%,9.39%,33.38%,34.87%,-6.10%,71.12%,-45.00%,198.46%,66.83,-3.02%,0.53%,3.00,82.34K,0.37,3.85,-2.50%,"30,542",Nov 12/b,2.50,9/17/1992,-,-
53,CWBR,"CohBar, Inc.",Healthcare,Biotechnology,USA,84.23M,-,-,-,-,3.50,3.60,-,-,-,-0.34,20.00%,-6.50%,-16.70%,-,-,17.50%,-,50.20M,43.88M,2.70%,0.41%,12.40%,51.11%,4.30%,3.77,-97.40%,-150.60%,-,10.30,10.30,0.16,0.19,-,-,-,0.76%,14.66%,35.65%,-41.15%,-19.39%,-16.87%,2.68,0.11,10.16%,8.00%,4.53%,20.89%,-14.34%,-14.56%,54.29%,-68.24%,58.82%,56.77,3.85%,-2.26%,2.00,500.02K,0.79,1.35,1.50%,"389,423",Nov 16/a,-,1/28/2015,-,-
54,CXDC,China XD Plastics Company Limited,Consumer Cyclical,Auto Parts,China,73.76M,-,-,-,0.07,0.09,0.35,-,-,-,-2.95,-95.60%,-,-52.30%,-,5.50%,-387.00%,-22.30%,67.92M,34.67M,42.40%,0.00%,26.70%,-2.82%,0.28%,1.15,-2.90%,-9.80%,3.00%,1.20,0.70,0.73,1.69,12.00%,-2.90%,-7.90%,-0.47%,-12.08%,-5.80%,-9.05%,-45.23%,-41.06%,1.11,0.03,2.19%,2.69%,-2.69%,-5.49%,1.73%,-11.99%,8.38%,-54.91%,74.59%,44.19,4.77%,-0.47%,-,85.78K,0.81,1.10,4.27%,"69,180",Nov 16/b,-,9/27/2007,-,-
55,CYRN,CYREN Ltd.,Technology,Software - Infrastructure,USA,44.25M,-,-,-,1.18,4.19,3.43,-,-,-,-0.30,9.80%,-13.60%,-5.90%,20.00%,3.80%,-24.80%,-4.20%,60.58M,26.61M,2.80%,0.00%,67.30%,1.12%,0.09%,0.10,-26.60%,-86.60%,-50.60%,1.00,1.00,1.25,1.25,59.40%,-45.20%,-47.00%,5.83%,10.81%,17.19%,-7.63%,-14.18%,-14.84%,0.71,0.15,27.52%,13.14%,2.73%,7.06%,-1.00%,-39.43%,31.50%,-46.19%,241.94%,50.52,3.92%,-6.42%,2.00,249.50K,1.83,1.06,-2.75%,"451,386",Nov 16/a,1.50,7/13/1999,-,-
56,DARE,"Dare Bioscience, Inc.",Healthcare,Biotechnology,USA,40.14M,-,-,-,-,-,7.43,-,-,-,-0.90,38.00%,17.10%,43.00%,-,-,-18.10%,-,37.99M,35.23M,8.30%,0.00%,5.90%,48.57%,0.98%,0.36,-269.50%,-,-,0.90,0.90,-,-,-,-,-,12.93%,2.34%,32.50%,24.76%,49.71%,59.76%,2.22,0.12,9.09%,9.33%,9.34%,23.71%,33.89%,-10.00%,52.43%,-35.14%,92.00%,61.05,14.29%,-3.82%,2.00,968.38K,2.08,1.44,9.92%,"1,993,108",Nov 12/a,-,4/10/2014,-,-
57,DFFN,Diffusion Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,46.58M,-,-,-,-,1.58,2.13,-,-,-,-0.50,78.90%,21.40%,58.90%,-,-,88.40%,-,64.01M,63.88M,0.10%,79.21%,10.70%,-2.23%,1.06%,0.68,-56.00%,-63.50%,-,8.40,8.40,0.00,0.00,-,-,-,0.00%,2.90%,-12.35%,-28.97%,66.47%,54.11%,1.60,0.06,6.44%,8.14%,1.12%,-2.56%,-10.03%,-21.49%,21.68%,-53.39%,198.32%,51.76,0.78%,4.23%,-,1.00M,1.21,0.75,5.04%,"1,198,833",-,-,10/17/2003,-,-
58,DGLY,"Digital Ally, Inc.",Industrials,Security & Protection Services,USA,70.97M,-,-,-,6.96,4.91,8.76,-,-,-,-0.42,54.70%,-47.60%,24.40%,20.00%,-9.80%,107.70%,24.10%,26.61M,23.14M,4.30%,-14.56%,12.60%,60.43%,15.32%,0.85,-35.30%,-135.20%,-301.60%,4.50,3.10,0.06,0.11,27.50%,-90.60%,-56.40%,1.92%,15.72%,-6.03%,-20.66%,150.00%,159.80%,0.70,0.21,7.81%,9.18%,1.82%,5.87%,18.65%,-18.65%,35.86%,-63.45%,305.44%,52.89,-3.17%,1.13%,-,4.16M,0.32,2.60,-2.08%,"1,315,370",Nov 12/b,-,2/22/2005,-,-
59,DOGZ,Dogness (International) Corporation,Consumer Defensive,Household & Personal Products,China,48.44M,-,8.30,-,2.52,0.97,10.09,-,-,-,-0.33,-694.30%,109.09%,-27.40%,-,4.40%,-569.20%,-49.70%,25.91M,16.85M,-,-,0.10%,89.82%,0.23%,0.05,-12.40%,-14.60%,-15.80%,1.10,0.80,0.00,0.10,12.50%,-45.30%,-44.00%,5.82%,-17.32%,73.64%,17.90%,30.02%,43.61%,-,0.20,8.66%,10.49%,-6.85%,-8.06%,33.78%,-45.03%,80.77%,-45.03%,141.96%,45.42,-1.05%,-0.52%,-,798.12K,0.02,1.88,-1.57%,"17,537",-,-,12/20/2017,-,-
